POSIX,"12,3803",1*2000,
OpenMP,"11,851",1*2000,
Intel_TTB,"7,40346",1*2000,
,,,
,,,
POSIX,"7,02818",2*2000,"1,76"
OpenMP,"6,88191",2*2000,"1,72"
Intel_TTB,"3,91234",2*2000,"1,89"
POSIX,"3,22305",4*2000,"3,84"
OpenMP,"3,18723",4*2000,"3,72"
Intel_TTB,"2,03688",4*2000,"3,63"
POSIX,"2,51931",8*2000,"4,91"
OpenMP,"2,35272",8*2000,"5,04"
Intel_TTB,"1,74748",8*2000,"4,24"
POSIX,"2,79334",16*2000,"4,43"
OpenMP,"2,67795",16*2000,"4,43"
Intel_TTB,"2,71777",16*2000,"2,72"
POSIX,"2,70978",32*2000,"4,57"
OpenMP,"2,71286",32*2000,"4,37"
Intel_TTB,"2,71782",32*2000,"2,72"
